SQ,SQI,ALB,Albanian
AR,ARA,,Arabic
HY,HYE,ARM,Armenian
CA,CAT,,Catalan
ZH,ZHO,CHI,Chinese
HR,HRV,,Croatian
DA,DAN,,Danish
NL,NLD,DUT,Dutch
EN,ENG,,English
EO,EPO,,Esperanto
ET,EST,,Estonian
FI,FIN,,Finnish
FR,FRA,FRE,French
DE,DEU,GER,German
,GIL,,Gilbertese
EL,ELL,GRE,Greek
HE,HEB,,Hebrew
HI,HIN,,Hindi
HU,HUN,,Hungarian
IS,ISL,ICE,Icelandic
GA,GLE,,Irish
IT,ITA,,Italian
JA,JPN,,Japanese
,CSB,,Kashubian
KO,KOR,,Korean
LT,LIT,,Lithuanian
MS,MSA,MAY,Malay
NO,NOR,,Norwegian
FA,FAS,PER,Persian
YZ,YNZ,,Pittsburghese
PL,POL,,Polish
PT,POR,,Portuguese
RU,RUS,,Russian
ES,SPA,,Spanish
SV,SWE,,Swedish
TL,TGL,,Tagalog
TH,THA,,Thai
TR,TUR,,Turkish
UK,UKR,,Ukrainian
UR,URD,,Urdu
VI,VIE,,Vietnamese
VS,VIS,,Visayan
CY,CYM,WEL,Welsh
YI,YID,,Yiddish
